pw0	pw1	weight	features
Cationic antimicrobial peptide (CAMP) resistance PAO1	Type III secretion system	1	83.0
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Ribosome, bacteria	1	236.0
Histidine metabolism PAO1	Pyocyanine biosynthesis, chorismate => pyocyanine	1	299.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Phospholipid transport system	1	38.0
Citrate cycle (TCA cycle) PAO1	Oxidative phosphorylation PAO1	1	52.0
Arginine biosynthesis PAO1	Oxidative phosphorylation PAO1	1	79.0
Fatty acid biosynthesis PAO1	Fatty acid metabolism PAO1	1	173.0
Histidine metabolism PAO1	Phenazine biosynthesis PAO1	1	299.0
Degradation of aromatic compounds PAO1	Glycine, serine and threonine metabolism PAO1	1	86.0
Denitrification, nitrate => nitrogen	Glycolysis / Gluconeogenesis PAO1	1	72.0
Aminobenzoate degradation PAO1	Chlorocyclohexane and chlorobenzene degradation PAO1	1	10.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Dipeptide transport system	1	282.0
Butanoate metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	1	251.0
Aminobenzoate degradation PAO1	Phenazine biosynthesis PAO1	1	185.0
Glycine betaine/proline transport system	Pyocyanine biosynthesis, chorismate => pyocyanine	1	299.0
Benzoate degradation PAO1	NitT/TauT family transport system	1	10.0
Aminobenzoate degradation PAO1	Dipeptide transport system	1	4.0
Leucine degradation, leucine => acetoacetate + acetyl-CoA	Tyrosine metabolism PAO1	1	49.0
Aminoacyl-tRNA biosynthesis, prokaryotes	RNA degradation PAO1	1	34.0
Starch and sucrose metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	46.0
Leucine degradation, leucine => acetoacetate + acetyl-CoA	Quorum sensing PAO1	1	134.0
Oxidative phosphorylation PAO1	Protein export PAO1	1	139.0
Degradation of aromatic compounds PAO1	Fructose and mannose metabolism PAO1	1	154.0
Glyoxylate and dicarboxylate metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	100.0
Glycine betaine/proline transport system	Quorum sensing PAO1	1	258.0
Iron(III) transport system	Nitrogen metabolism PAO1	1	260.0
Aminobenzoate degradation PAO1	Protein export PAO1	1	180.0
Valine, leucine and isoleucine degradation PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	239.0
Chlorocyclohexane and chlorobenzene degradation PAO1	Quorum sensing PAO1	1	212.0
Quorum sensing PAO1	Sulfur metabolism PAO1	1	100.0
Denitrification, nitrate => nitrogen	Sulfur metabolism PAO1	1	6.0
Propanoate metabolism PAO1	Tryptophan metabolism PAO1	1	21.0
Aminobenzoate degradation PAO1	Flagellar assembly PAO1	1	213.0
Cyanoamino acid metabolism PAO1	Type III secretion system	1	220.0
Putative polar amino acid transport system	Vanadium resistance, efflux pump MexGHI-OpmD	1	6.0
Nitrogen metabolism PAO1	Selenocompound metabolism PAO1	1	235.0
Aminobenzoate degradation PAO1	Tryptophan metabolism PAO1	1	21.0
Putative polar amino acid transport system	Spermidine/putrescine transport system	1	240.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Flagellar assembly PAO1	1	224.0
Pentose phosphate pathway PAO1	Starch and sucrose metabolism PAO1	1	101.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Valine, leucine and isoleucine degradation PAO1	1	244.0
Flagellar assembly PAO1	Glutamate/aspartate transport system	1	65.0
Ribosome PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	59.0
Type VI secretion system	Tyrosine metabolism PAO1	1	215.0
Phosphate transport system	Sulfur metabolism PAO1	1	263.0
Citrate cycle (TCA cycle) PAO1	Pentose phosphate pathway PAO1	1	202.0
Spermidine/putrescine transport system	Sulfur metabolism PAO1	1	240.0
Glycolysis / Gluconeogenesis PAO1	Methane metabolism PAO1	1	5.0
Denitrification, nitrate => nitrogen	Type VI secretion system	1	127.0
Denitrification, nitrate => nitrogen	Pentose phosphate pathway PAO1	1	72.0
Arginine biosynthesis PAO1	Iron complex transport system	1	146.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Pentose phosphate pathway PAO1	1	237.0
Bacterial secretion system PAO1	Tyrosine metabolism PAO1	1	272.0
Pyrimidine metabolism PAO1	Ribosome, bacteria	1	236.0
Fructose and mannose metabolism PAO1	Phosphonate transport system	1	22.0
RNA degradation PAO1	Ribosome PAO1	1	178.0
Glycine, serine and threonine metabolism PAO1	Quorum sensing PAO1	1	258.0
Histidine degradation, histidine => N-formiminoglutamate => glutamate	Vanadium resistance, efflux pump MexGHI-OpmD	1	296.0
Type VI secretion system	beta-Alanine metabolism PAO1	1	112.0
Methane metabolism PAO1	Multidrug resistance, efflux pump MexPQ-OpmE	1	250.0
Glycine, serine and threonine metabolism PAO1	Tyrosine metabolism PAO1	1	6.0
Aminobenzoate degradation PAO1	Macrolide resistance, MacAB-TolC transporter	1	89.0
Fructose and mannose metabolism PAO1	Type II general secretion pathway	1	22.0
Glyoxylate and dicarboxylate metabolism PAO1	Porphyrin and chlorophyll metabolism PAO1	1	131.0
Aminobenzoate degradation PAO1	Cyanoamino acid metabolism PAO1	1	185.0
Protein export PAO1	Ribosome, bacteria	1	139.0
Degradation of aromatic compounds PAO1	beta-Alanine metabolism PAO1	1	163.0
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Quorum sensing PAO1	1	215.0
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Tyrosine metabolism PAO1	1	215.0
Glycine, serine and threonine metabolism PAO1	Macrolide resistance, MacAB-TolC transporter	1	26.0
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Ribosome PAO1	1	236.0
Glycerophospholipid metabolism PAO1	Phenazine biosynthesis PAO1	1	286.0
Nitrogen metabolism PAO1	Quorum sensing PAO1	1	74.0
Dipeptide transport system	Methane metabolism PAO1	1	4.0
Pentose phosphate pathway PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	72.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Histidine degradation, histidine => N-formiminoglutamate => glutamate	1	296.0
Phosphonate and phosphinate metabolism PAO1	Quorum sensing PAO1	1	279.0
Citrate cycle (TCA cycle) PAO1	Glycolysis / Gluconeogenesis PAO1	1	202.0
Flagellar assembly PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	129.0
Methane metabolism PAO1	Ribosome PAO1	1	9.0
Degradation of aromatic compounds PAO1	Glycine betaine/proline transport system	1	86.0
Citrate cycle (TCA cycle) PAO1	Polyketide sugar unit biosynthesis PAO1	1	104.0
Denitrification, nitrate => nitrogen	Glycerolipid metabolism PAO1	1	127.0
Fructose and mannose metabolism PAO1	Methane metabolism PAO1	1	250.0
Oxidative phosphorylation PAO1	Sulfur metabolism PAO1	1	294.0
Benzoate degradation PAO1	Sulfur metabolism PAO1	1	10.0
Aminobenzoate degradation PAO1	Methane metabolism PAO1	1	4.0
Pentose phosphate pathway PAO1	Valine, leucine and isoleucine degradation PAO1	1	165.0
Nitrogen metabolism PAO1	Tyrosine metabolism PAO1	1	293.0
Flagellar assembly PAO1	Valine, leucine and isoleucine degradation PAO1	1	200.0
Nitrogen metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	112.0
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Oxidative phosphorylation PAO1	1	50.0
Putative polar amino acid transport system	Valine, leucine and isoleucine degradation PAO1	1	127.0
Arginine biosynthesis PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	100.0
Ribosome, bacteria	Vanadium resistance, efflux pump MexGHI-OpmD	1	59.0
Nitrogen metabolism PAO1	Oxidative phosphorylation PAO1	1	135.0
Phosphonate transport system	Quorum sensing PAO1	1	279.0
Butanoate metabolism PAO1	Type VI secretion system	1	185.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Spermidine/putrescine transport system	1	240.0
Putative polar amino acid transport system	Tyrosine metabolism PAO1	1	6.0
Aminobenzoate degradation PAO1	Spermidine/putrescine transport system	1	240.0
Bacterial chemotaxis PAO1	Type VI secretion system	1	171.0
Degradation of aromatic compounds PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	39.0
Pyrimidine metabolism PAO1	Ribosome PAO1	1	236.0
Chlorocyclohexane and chlorobenzene degradation PAO1	Sulfur metabolism PAO1	1	10.0
Glycolysis / Gluconeogenesis PAO1	Tetrahydrofolate biosynthesis, GTP => THF	1	5.0
Alanine, aspartate and glutamate metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	76.0
Degradation of aromatic compounds PAO1	Valine, leucine and isoleucine degradation PAO1	1	244.0
Methane metabolism PAO1	Oxidative phosphorylation PAO1	1	9.0
Aminobenzoate degradation PAO1	Iron complex transport system	1	70.0
Glycerolipid metabolism PAO1	Glyoxylate and dicarboxylate metabolism PAO1	1	131.0
Quorum sensing PAO1	beta-Alanine metabolism PAO1	1	296.0
Phospholipid transport system	Sulfur metabolism PAO1	1	38.0
Protein export PAO1	Ribosome PAO1	1	139.0
Glycerolipid metabolism PAO1	Porphyrin and chlorophyll metabolism PAO1	1	131.0
Benzoate degradation PAO1	Chlorocyclohexane and chlorobenzene degradation PAO1	1	10.0
Quorum sensing PAO1	Zinc transport system	1	249.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Putative polar amino acid transport system	1	240.0
Oxidative phosphorylation PAO1	Propanoate metabolism PAO1	1	230.0
Arginine biosynthesis PAO1	Histidine metabolism PAO1	1	54.0
Dipeptide transport system	Glycine, serine and threonine metabolism PAO1	1	282.0
Arginine and proline metabolism PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	1	23.0
Amino sugar and nucleotide sugar metabolism PAO1	Histidine metabolism PAO1	1	216.0
Aminobenzoate degradation PAO1	Phenylalanine metabolism PAO1	1	147.0
Aminobenzoate degradation PAO1	Bacterial secretion system PAO1	1	272.0
Chlorocyclohexane and chlorobenzene degradation PAO1	NitT/TauT family transport system	1	10.0
Arginine biosynthesis PAO1	Sulfur metabolism PAO1	1	100.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Cysteine and methionine metabolism PAO1	1	241.0
Flagellar assembly PAO1	Phenazine biosynthesis PAO1	1	160.0
Fructose and mannose metabolism PAO1	Valine, leucine and isoleucine biosynthesis PAO1	1	196.0
Glycolysis / Gluconeogenesis PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	1	72.0
Arginine and proline metabolism PAO1	Phenylalanine metabolism PAO1	1	147.0
Methane metabolism PAO1	Quorum sensing PAO1	1	258.0
Histidine degradation, histidine => N-formiminoglutamate => glutamate	beta-Alanine metabolism PAO1	1	296.0
Multidrug resistance, efflux pump MexPQ-OpmE	Phenazine biosynthesis PAO1	1	10.0
Histidine metabolism PAO1	Pentose phosphate pathway PAO1	1	54.0
Arginine biosynthesis PAO1	Ribosome, bacteria	1	79.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Glycine, serine and threonine metabolism PAO1	1	282.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Oxidative phosphorylation PAO1	1	45.0
Benzoate degradation PAO1	Glycolysis / Gluconeogenesis PAO1	1	93.0
Aminoacyl-tRNA biosynthesis, prokaryotes	Oxidative phosphorylation PAO1	1	230.0
Quorum sensing PAO1	Selenocompound metabolism PAO1	1	96.0
Cyanoamino acid metabolism PAO1	Tyrosine metabolism PAO1	1	220.0
Glyoxylate and dicarboxylate metabolism PAO1	Sulfur metabolism PAO1	1	100.0
Arginine biosynthesis PAO1	Type VI secretion system	1	133.0
Oxidative phosphorylation PAO1	Selenocompound metabolism PAO1	1	96.0
Degradation of aromatic compounds PAO1	Nitrogen metabolism PAO1	1	244.0
Fructose and mannose metabolism PAO1	Phosphate transport system	1	22.0
Leucine degradation, leucine => acetoacetate + acetyl-CoA	Type VI secretion system	1	134.0
